FINALS RESULTS
Position: 17

Games:        11910

2p Games:     3622   (an extra 247 games against DQ'd players ignored)
Wins:         2490
Losses:       1132

Rushes:       1455
Wins:         1279   (87.9%)
Losses:       176

Non-Rushes:   2167
Wins:         1211   (55.9%)
Losses:       956

--------------------------------------------------
Rush Results Only (2p games, < 10 ships produced):

9498081  O    klyd3r
9497101    X  ipost
9496348  O    RyanDraves
9496104  O    RyanDraves
9495735  O    klyd3r
9495052  O    AzureFractal
9494739    X  kindanoob
9494532  O    RyanDraves
9494435  O    RyanDraves
9494424  O    AzureFractal
9494295    X  ipost
9494063  O    alexander-mol
9494021  O    klyd3r
9493790  O    AzureFractal
9493534  O    coleholcomb
9493527  O    ipost
9493062  O    ipost
9493010  O    scottlegrand
9492874  O    spelljack
9492523  O    ipost
9491649  O    ebretl
9491556  O    ipost
9491503  O    ipost
9491473  O    klyd3r
9491441  O    AzureFractal
9491346    X  RyanDraves
9491172  O    klyd3r
9490700  O    RyanDraves
9490143  O    dhallstr
9489667  O    alexander-mol
9489514    X  succcubbus
9488787    X  alexander-mol
9488489  O    klyd3r
9488423  O    kindanoob
9488247    X  klyd3r
9488099  O    RyanDraves
9487699  O    klyd3r
9487556  O    ipost
9487273  O    RyanDraves
9487086  O    klyd3r
9487002  O    AzureFractal
9486881    X  succcubbus
9485494  O    RyanDraves
9484235  O    kindanoob
9484008  O    RyanDraves
9483961  O    kindanoob
9483915    X  klyd3r
9483817  O    ipost
9483797  O    kindanoob
9483688  O    alexander-mol
9483615  O    AzureFractal
9483350  O    Rachol
9482811  O    AzureFractal
9482722  O    ipost
9482601  O    AzureFractal
9482238  O    klyd3r
9481412  O    AzureFractal
9481117  O    dhallstr
9480967  O    ipost
9480777  O    dhallstr
9480379  O    RyanDraves
9479680  O    huizew
9478873  O    dhallstr
9478019    X  succcubbus
9478017  O    Paul-Andre
9477963  O    RyanDraves
9477707  O    alexander-mol
9477565  O    AzureFractal
9475955  O    AzureFractal
9475811  O    succcubbus
9475620  O    AzureFractal
9475619  O    klyd3r
9475599  O    RyanDraves
9475515  O    alexander-mol
9475496  O    dhallstr
9475409  O    RyanDraves
9474410  O    succcubbus
9474358  O    RyanDraves
9474297  O    dhallstr
9474288  O    ipost
9474228  O    AzureFractal
9473737  O    klyd3r
9473549    X  ipost
9472950  O    AzureFractal
9472904  O    RyanDraves
9472788  O    alexander-mol
9472772  O    klyd3r
9472435  O    AzureFractal
9471771    X  zxqfl
9471767  O    klyd3r
9471627  O    AzureFractal
9471542  O    ipost
9471181  O    ipost
9471005  O    ebretl
9470752  O    kindanoob
9470216    X  succcubbus
9470052  O    ipost
9469907  O    AzureFractal
9469739  O    huizew
9469534  O    kindanoob
9469428    X  RyanDraves
9468922  O    AzureFractal
9468674  O    ewirkerman
9468483    X  ipost
9468185  O    RyanDraves
9467940    X  alexander-mol
9467842  O    RyanDraves
9467817  O    ericzhang98
9467297  O    klyd3r
9466701  O    dhallstr
9466322  O    RyanDraves
9465817    X  klyd3r
9465697  O    spelljack
9465006  O    dhallstr
9464822  O    alexander-mol
9464809  O    RyanDraves
9464201  O    huizew
9464105  O    succcubbus
9463925  O    alexander-mol
9463767  O    kindanoob
9463325  O    AzureFractal
9463189  O    AzureFractal
9462728  O    kindanoob
9462646  O    alexander-mol
9462642  O    ipost
9462385  O    dhallstr
9461476  O    alexander-mol
9461349  O    alexander-mol
9461269  O    ipost
9461111  O    RyanDraves
9461073  O    ericzhang98
9460977  O    huizew
9460940  O    klyd3r
9460917  O    RyanDraves
9460216  O    AzureFractal
9459716  O    succcubbus
9459624  O    ipost
9459009  O    kindanoob
9458975  O    AzureFractal
9458724  O    alexander-mol
9458587    X  RyanDraves
9458312  O    alexander-mol
9457749  O    AzureFractal
9457453  O    AzureFractal
9457268  O    alexander-mol
9457176  O    klyd3r
9456926  O    alexander-mol
9456425  O    ipost
9456184    X  huizew
9454984  O    ipost
9454927  O    ericzhang98
9454663  O    klyd3r
9454514  O    kindanoob
9454043  O    SiestaGuru
9453959  O    RyanDraves
9452711  O    ipost
9452607  O    alexander-mol
9452210  O    alexander-mol
9452163  O    kindanoob
9450019  O    klyd3r
9450001  O    AzureFractal
9449965  O    klyd3r
9449703  O    ipost
9449625  O    kindanoob
9449379  O    ipost
9449163  O    klyd3r
9448749  O    AzureFractal
9448546  O    klyd3r
9448269  O    FakePsyho
9447391  O    RyanDraves
9447138  O    AzureFractal
9445384  O    alexander-mol
9444743  O    klyd3r
9444128  O    kindanoob
9443726  O    kindanoob
9443587  O    kindanoob
9443360  O    AzureFractal
9443143  O    RyanDraves
9442360  O    RyanDraves
9441688  O    succcubbus
9441338  O    alexander-mol
9440477  O    kindanoob
9440247  O    alexander-mol
9439975  O    SiestaGuru
9439806  O    kindanoob
9439517  O    dhallstr
9438696  O    ipost
9438495  O    coleholcomb
9438322  O    ipost
9438139  O    ericzhang98
9437739  O    AzureFractal
9437032  O    ipost
9436434  O    dhallstr
9436400  O    kindanoob
9436313  O    klyd3r
9435931  O    klyd3r
9435645  O    SiestaGuru
9435614    X  ewirkerman
9434956  O    mpbuckley
9434837  O    AzureFractal
